NetworkMessageId,Subject,Sender,RecipientCount,DeliveryAction,ThreatTypes,Marked by,ConfidenceScore
msg-01125,Your monthly newsletter,sender125@legit-corp.com,5,Delivered,NoThreatsFound,,
msg-01126,Re: Tuesday standup notes,sender126@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.855
msg-01127,Sprint 47 retro action items,sender127@legit-corp.com,1,Delivered,NoThreatsFound,Veridex,0.817
msg-01128,Out of office: returning Monday,sender128@legit-corp.com,3,Delivered,NoThreatsFound,,
msg-01129,Microsoft 365 password expiration notice,sender129@suspicious-domain.tk,4,Quarantined,Phish,,
msg-01130,Your package is held at customs,sender130@suspicious-domain.tk,3,Quarantined,Phish,,
msg-01131,Your monthly newsletter,sender131@legit-corp.com,5,Delivered,NoThreatsFound,,
msg-01132,"Your invoice is overdue, action required",sender132@suspicious-domain.tk,2,Quarantined,Phish,,
msg-01133,Sprint 47 retro action items,sender133@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.905
msg-01134,Re: Onboarding checklist update,sender134@legit-corp.com,3,Delivered,NoThreatsFound,,
msg-01135,AWS billing alert: Unusual charges detected,sender135@suspicious-domain.tk,5,Quarantined,Phish,,
msg-01136,Recipe you wanted,sender136@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.989
msg-01137,Re: Tuesday standup notes,sender137@legit-corp.com,3,Delivered,NoThreatsFound,Veridex,0.824
msg-01138,Your package is held at customs,sender138@suspicious-domain.tk,1,Quarantined,Phish,,
msg-01139,Lunch tomorrow?,sender139@legit-corp.com,2,Delivered,NoThreatsFound,,
msg-01140,AWS billing alert: Unusual charges detected,sender140@suspicious-domain.tk,1,Quarantined,Phish,Veridex,0.95
msg-01141,AWS billing alert: Unusual charges detected,sender141@suspicious-domain.tk,1,Quarantined,Phish,Veridex,0.92
msg-01142,URGENT: Verify your account or risk suspension,sender142@suspicious-domain.tk,5,Quarantined,Phish,Veridex,0.82
msg-01143,Re: Tuesday standup notes,sender143@legit-corp.com,1,Delivered,NoThreatsFound,Veridex,0.959
msg-01144,Re: Tuesday standup notes,sender144@legit-corp.com,3,Delivered,NoThreatsFound,Veridex,0.794
msg-01145,"IT Helpdesk: Mailbox full, click to clean",sender145@suspicious-domain.tk,1,Quarantined,Phish,,
msg-01146,Re: Onboarding checklist update,sender146@legit-corp.com,5,Delivered,NoThreatsFound,Veridex,0.901
msg-01147,AWS billing alert: Unusual charges detected,sender147@suspicious-domain.tk,1,Quarantined,Phish,Veridex,0.989
msg-01148,DocuSign envelope: Wire instructions,sender148@suspicious-domain.tk,5,Quarantined,Phish,,
msg-01149,Your monthly newsletter,sender149@legit-corp.com,5,Delivered,NoThreatsFound,,
msg-01150,Q3 marketing review notes,sender150@legit-corp.com,5,Delivered,NoThreatsFound,Veridex,0.98
msg-01151,DocuSign envelope: Wire instructions,sender151@suspicious-domain.tk,3,Quarantined,Phish,,
msg-01152,Lunch tomorrow?,sender152@legit-corp.com,5,Delivered,NoThreatsFound,Veridex,0.768
msg-01153,"IT Helpdesk: Mailbox full, click to clean",sender153@suspicious-domain.tk,3,Quarantined,Phish,Veridex,0.758
msg-01154,"IT Helpdesk: Mailbox full, click to clean",sender154@suspicious-domain.tk,1,Quarantined,Phish,Veridex,0.915
msg-01155,Sprint 47 retro action items,sender155@legit-corp.com,4,Delivered,NoThreatsFound,,
msg-01156,Microsoft 365 password expiration notice,sender156@suspicious-domain.tk,3,Quarantined,Phish,Veridex,0.948
msg-01157,AWS billing alert: Unusual charges detected,sender157@suspicious-domain.tk,5,Quarantined,Phish,Veridex,0.93
msg-01158,Re: Onboarding checklist update,sender158@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.915
msg-01159,Re: Tuesday standup notes,sender159@legit-corp.com,4,Delivered,NoThreatsFound,,
msg-01160,HR: Confidential salary review document,sender160@suspicious-domain.tk,3,Quarantined,Phish,Veridex,0.895
msg-01161,URGENT: Verify your account or risk suspension,sender161@suspicious-domain.tk,3,Quarantined,Phish,Veridex,0.888
msg-01162,Re: Tuesday standup notes,sender162@legit-corp.com,3,Delivered,NoThreatsFound,Veridex,0.794
msg-01163,Re: Tuesday standup notes,sender163@legit-corp.com,1,Delivered,NoThreatsFound,Veridex,0.863
msg-01164,Re: Onboarding checklist update,sender164@legit-corp.com,2,Delivered,NoThreatsFound,Veridex,0.829
msg-01165,Out of office: returning Monday,sender165@legit-corp.com,5,Delivered,NoThreatsFound,Veridex,0.759
msg-01166,"Your invoice is overdue, action required",sender166@suspicious-domain.tk,4,Quarantined,Phish,Veridex,0.958
msg-01167,Re: Tuesday standup notes,sender167@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.763
msg-01168,Re: Tuesday standup notes,sender168@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.932
msg-01169,AWS billing alert: Unusual charges detected,sender169@suspicious-domain.tk,4,Quarantined,Phish,Veridex,0.961
msg-01170,Sprint 47 retro action items,sender170@legit-corp.com,2,Delivered,NoThreatsFound,Veridex,0.825
msg-01171,DocuSign envelope: Wire instructions,sender171@suspicious-domain.tk,1,Quarantined,Phish,Veridex,0.861
msg-01172,"IT Helpdesk: Mailbox full, click to clean",sender172@suspicious-domain.tk,3,Quarantined,Phish,,
msg-01173,Re: Tuesday standup notes,sender173@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.808
msg-01174,Lunch tomorrow?,sender174@legit-corp.com,1,Delivered,NoThreatsFound,Veridex,0.816
msg-01175,Your monthly newsletter,sender175@legit-corp.com,1,Delivered,NoThreatsFound,Veridex,0.818
msg-01176,"IT Helpdesk: Mailbox full, click to clean",sender176@suspicious-domain.tk,2,Quarantined,Phish,Veridex,0.857
msg-01177,Out of office: returning Monday,sender177@legit-corp.com,4,Delivered,NoThreatsFound,Veridex,0.974
msg-01178,Sprint 47 retro action items,sender178@legit-corp.com,5,Delivered,NoThreatsFound,,
msg-01179,Out of office: returning Monday,sender179@legit-corp.com,1,Delivered,NoThreatsFound,,
